token_address,decimals
0x4EC1b60B96193a64AcAe44778e51f7BfF2007831,18
0xe9d2fE69558Fc1819ae2971E68F3615bDA6eFA1e,9
0xD2292ef492697b0361bD22026861c905f1bFd64f,18
0x7175532224848Ac9B9c0844d7A273A0a58B3Bc35,9
0xB4B92f71A4AAB1AD4c3cb0F30bc152aa62DEA1d0,18
0x1Cea6313400DdBCB503c23F5a4fACD3014F29872,6
0xEDFaDE6a39AC88a43AE6877c874f472c2b06d806,9
0x76dfa6f676d620f0CBFfDaf30127fC9A6Be78920,9
0xD64Ae770258E236776262C596F91f0A1D7e45662,18
0x93825bCA044cbACcEAD989bb599E947CBc44DA12,18
0x33AE788Cad35e82ad19E6EaEBDDF8d877e8C25cf,18
0x10152944EEe61b950eff69ABB63a5fc5aD47C9e8,18
0x3C441D3746FB2064EcB0fCBBc3bC987088dB6253,18
0x5245aF33F1a2D0cA3781CE1D6652f65D34032FF9,9
0x06A8b1E208837c85864bFd62B933D2B13bDF2dB1,18
0x740fA34Da87C5EcDdE58902e2D2Bd97d83789AFF,18
0x2dCAcbAD61440aBe782eC5513E8E270bAA923f16,18
0xda7B20E0E533cdd09706a8A3833a711538d5FEb0,18
0x948c70Dc6169Bfb10028FdBE96cbC72E9562b2Ac,18
0x5B2d0b579e1484EEF61de0273CEDE4247db2ae97,18
0xec62Dbd2B4799BEEF76789981b8857D986D90e1B,18
0x8524afc228800a8816671bc9ec156a3a9c369A35,9
0xb5b545cbd810270aE68c0a56F56319891399dB9b,18
0xC10B519e3b0023f3313f9566c8B217e04F86E6d4,18
0x644653368c9732B27d2f0290DeD71E1784575fE4,9
0x957919528E80c00B8143f68823C397D59249513e,9
0x557B933a7C2c45672B610F8954A3deB39a51A8Ca,18
0x8642A849D0dcb7a15a974794668ADcfbe4794B56,18
0x9a524661e7ad7Db5134802E834bE8c50F66C2A19,18
0x35FA44BADE2280c1fA71f5Fcf77a557A46059284,18
0x5F0bc16D50F72d10b719dBF6845DE2E599eb5624,18
0x6161D07E32dB812C791f295d5bB1A4884FD5E895,18
0xF43f6704Fc070c12adD5f72B6722ECc61F49c658,18
0x014e6BaF42F2048627b1414FB9f980c9f8827909,18
0x6A55B1105497CE7939349f83cFE8b966845b1eB8,18
0xc4bB9c4D0C8aA4983A53cAF937aE92b880875A10,9
0x16D2aD628DEcc8c2Ae3c7d3E7795fFb4Fb738D42,18
0x0F78521E5DcA76fb420B75909CB12F6300F53C69,18
0x3cc55B43Ba0ccb28BfB02252Dc8038c1955Ea102,18
0x376b1bF43Fa62D69601121fb529a1165Cb85a233,18
0x82dfDB2ec1aa6003Ed4aCBa663403D7c2127Ff67,18
0x30BAAdB0c58a913934082962512c1aAb1E596feF,9
0x6cb0A6Ec446B34bc273c2E257f9F9a5e808964ae,18
0xDfDd3459D4F87234751696840092ee20C970Fb07,9
0x19107272e6dc244658c0912aBd3B221DE5F4a628,9
0x72c4b3E4f820C6F08DbBDea0E0ec42DdbAB9a695,18
0xc81dfC762149754b6814880331d952094081687B,18
0x21c43498c9840Db72d4aB6e4988070e0E79707FF,9
0xcc9158E26A9Dc37bBe4496dAEAF3fCBCCc550426,18
0xb0b29FD65eB2E6C5417b03acfE9841406926BB3a,9
0x06Bd805ddf2dbc38Bb109CBc4346C4aB7021F202,9
0x6969eb9b0Dd2E473Ca8BcEbD0d2BB2106EDA32A2,18
0x3Be406D10a47E175896E060D2f0c03BE1bC2714B,18
0x75c9e7E3d83d62B1E0f3d97b35203267EA20b8e6,18
0xc6b70ABAB6Dd7C671af884bAd1cfFd599C5c40E2,18
